Tanggal,NTU_Manggar,PH_Manggar,NTU_Teritip,PH_Teritip
2016-08-26,32.4,6.37,,
2016-08-27,30.4,6.37,,
2016-08-28,30.2,6.43,,
2016-08-29,27.6,6.5,,
2016-08-30,28.4,6.36,,
2016-08-31,27.01,6.21,,
2016-09-01,56.5,6.09,,
2016-09-02,55,5.98,,
2016-09-03,55.2,6.14,,
2016-09-04,54.7,6.25,,
2016-09-05,60.5,6.18,,
2016-09-06,64.3,6.17,,
2016-09-07,62.5,6.21,,
2016-09-08,62,6.22,,
2016-09-09,63.8,6.21,,
2016-09-10,64.8,6.18,,
2016-09-11,62.2,6.26,,
2016-09-12,58.8,5.98,,
2016-09-13,57.9,6.21,,
2016-09-14,55.4,6.13,,
2016-09-15,54.3,6.19,,
2016-09-16,54.3,6.41,,
2016-09-17,84.7,6.3,,
2016-09-18,56.1,6.34,,
2016-09-19,51.9,6.18,,
2016-09-20,49.2,6.24,,
2016-09-21,50.4,6.35,,
2016-09-22,47.2,6.21,,
2016-09-23,44.9,6.23,,
2016-09-24,47.3,6.29,,
2016-09-25,45.9,6.21,,
2016-09-26,51.6,6.37,,
2016-09-27,40.2,6.37,,
2016-09-28,43.1,6.43,,
2016-09-29,45.1,6.5,,
2016-09-30,43.9,6.36,,
2016-10-01,11.4,6.98,,
2016-10-02,11.8,6.78,,
2016-10-03,10,6.97,,
2016-10-04,13.1,6.64,,
2016-10-05,9.8,6.92,,
2016-10-06,9.56,7.15,,
2016-10-07,9.71,7.21,,
2016-10-08,9.93,6.78,,
2016-10-09,8.17,6.82,,
2016-10-10,8.42,6.71,,
2016-10-11,8.17,6.85,,
2016-10-12,7.51,6.97,,
2016-10-13,9.5,6.29,,
2016-10-14,8.38,6.71,,
2016-10-15,8.12,6.76,,
2016-10-16,8.06,6.78,,
2016-10-17,7.88,6.82,,
2016-10-18,7.55,6.88,,
2016-10-19,8.73,6.71,,
2016-10-20,10.3,6.36,,
2016-10-21,11.5,6.47,,
2016-10-22,13,6.22,,
2016-10-23,10.5,5.66,,
2016-10-24,11.3,6.31,,
2016-10-25,9.92,6.38,,
2016-10-26,10.1,6.59,,
2016-10-27,9.88,6.96,,
2016-10-28,11.6,6.92,,
2016-10-29,8.27,6.83,,
2016-10-30,9.21,6.88,,
2016-10-31,9.2,6.87,,
2016-11-02,19.9,6.72,,
2016-11-03,37.3,6.39,,
2016-11-04,18.8,6.54,,
2016-11-05,32.2,6.4,,
2016-11-06,12.8,6.58,,
2016-11-07,12.6,6.77,,
2016-11-08,28.4,6.32,,
2016-11-09,25.8,6.19,,
2016-11-10,18.6,6.64,,
2016-11-11,33.5,6.11,,
2016-11-12,33.6,6,,
2016-11-13,25.5,5.93,,
2016-11-14,25.5,6.04,,
2016-11-15,29.7,6.15,,
2016-11-16,31.4,5.83,,
2016-11-17,25.4,6,,
2016-11-18,14.1,6.42,,
2016-11-19,15.3,6.37,,
2016-11-21,11.2,6.82,,
2016-11-22,11.6,6.27,,
2016-11-23,13.5,6.1,,
2016-11-24,10.2,6.38,,
2016-11-25,10.5,6.41,,
2016-11-26,10.4,6.33,,
2016-11-27,8.2,6.07,,
2016-11-28,8.12,6.55,,
2016-11-29,9.7,6.25,,
